8193;4972;1;"A+";"This is test comment #8193"
8194;8105;5;"C+";"This is test comment #8194"
8195;3097;1;"A+";"This is test comment #8195"
8196;6890;3;"C+";"This is test comment #8196"
8197;8064;5;"C+";"This is test comment #8197"
8198;4030;5;"A+";"This is test comment #8198"
8199;177;4;"A+";"This is test comment #8199"
8200;5039;2;"B-";"This is test comment #8200"
8201;209;3;"B-";"This is test comment #8201"
8202;243;1;"A+";"This is test comment #8202"
8203;4674;2;"A+";"This is test comment #8203"
8204;2795;3;"B-";"This is test comment #8204"
8205;4802;5;"C+";"This is test comment #8205"
8206;7397;0;"A+";"This is test comment #8206"
8207;7985;0;"B-";"This is test comment #8207"
8208;6708;2;"A+";"This is test comment #8208"
8209;3411;4;"C+";"This is test comment #8209"
8210;6396;2;"A+";"This is test comment #8210"
8211;926;3;"A+";"This is test comment #8211"
8212;2443;3;"C+";"This is test comment #8212"
8213;8268;2;"B-";"This is test comment #8213"
8214;3826;2;"A+";"This is test comment #8214"
8215;654;0;"C+";"This is test comment #8215"
8216;6355;3;"C+";"This is test comment #8216"
8217;3173;3;"C+";"This is test comment #8217"
8218;8537;3;"B-";"This is test comment #8218"
8219;1237;5;"B-";"This is test comment #8219"
8220;7869;5;"B-";"This is test comment #8220"
8221;1964;3;"C+";"This is test comment #8221"
8222;8236;4;"B-";"This is test comment #8222"
8223;6203;0;"A+";"This is test comment #8223"
8224;5930;2;"B-";"This is test comment #8224"
8225;4391;0;"A+";"This is test comment #8225"
8226;576;0;"B-";"This is test comment #8226"
8227;6935;2;"A+";"This is test comment #8227"
8228;3532;5;"A+";"This is test comment #8228"
8229;2066;5;"B-";"This is test comment #8229"
8230;5063;4;"B-";"This is test comment #8230"
8231;6352;0;"B-";"This is test comment #8231"
8232;4911;5;"B-";"This is test comment #8232"
8233;1834;1;"B-";"This is test comment #8233"
8234;7610;3;"A+";"This is test comment #8234"
8235;2769;4;"A+";"This is test comment #8235"
8236;2468;2;"C+";"This is test comment #8236"
8237;4239;3;"B-";"This is test comment #8237"
8238;5686;3;"B-";"This is test comment #8238"
8239;274;0;"C+";"This is test comment #8239"
8240;2537;0;"B-";"This is test comment #8240"
8241;1037;2;"B-";"This is test comment #8241"
8242;395;0;"C+";"This is test comment #8242"
8243;7960;3;"A+";"This is test comment #8243"
8244;4271;4;"B-";"This is test comment #8244"
8245;6029;2;"B-";"This is test comment #8245"
8246;5169;3;"B-";"This is test comment #8246"
8247;6943;3;"C+";"This is test comment #8247"
